Id,Price
4567,165901.63225813565
5925,122946.00248531338
960,140654.82021270244
3848,172253.3601525899
746,169372.46353846657
868,374109.44291837164
672,123836.95372963033
2471,214361.318108019
4510,135032.36793553506
8354,221110.21819305752
6393,177924.32450806486
13270,226175.73299704373
5250,255120.8666711673
16751,164395.80996923498
11404,134481.34000067867
10588,343521.4326076299
14925,186539.84978410252
6791,244026.21751676543
16097,208541.12356890124
16428,373402.73311332235
6945,373185.963643045
3190,194168.83936506152
15709,462799.49789015064
13155,194473.47879236002
7675,206516.44268270076
14686,220835.3674529311
609,170673.253472147
11155,155285.1635771281
10869,215039.178835177
15742,186420.0339976481
9245,194433.41094029925
3340,172377.37373225586
2359,282081.13128494564
8070,223951.67898917303
13707,135998.91115287575
16079,302550.9278857326
15937,296555.97441376164
14090,177580.2401944978
9008,217647.20708061944
16384,193704.5887334421
11657,249807.83396349038
13151,150956.2003923671
8990,192793.90612810903
11857,194340.02107441812
1565,147910.69836311927
8174,120540.97544679357
9247,223717.6478148308
10478,213428.9746144028
15509,149934.00723865323
8306,196125.84342994398
6642,186232.4912746743
7472,220499.04291141007
15989,129089.67761121178
13682,119214.3474697038
163,236919.085921986
7076,182087.9127678617
7478,321259.7272001375
3029,189429.23751808677
1814,147827.76151754704
10057,143796.20705153543
15100,198113.88383594953
12694,229795.9493921673
6291,179835.55211323354
12603,189306.7685411099
3218,254923.52339135055
13456,125131.30025963642
10170,219705.1086325833
4530,138073.4807508768
13329,171612.7605206309
4820,136507.18993123705
10896,166962.38776209735
13416,118117.73054164131
2701,242042.19254950338
11265,276039.6859960217
9189,269447.1502136162
1858,176305.38492874787
14536,236559.39852804848
6199,249616.45421574952
14730,156398.7015449657
7510,247333.88764843516
15505,160343.59440213375
7446,180738.89413207996
14016,165124.4307960286
14113,105762.73769024738
8721,236153.5408030182
6193,255692.38026837775
5717,176016.2212344766
5427,319105.1499292103
9520,526960.2324764254
6869,107220.17580851981
1658,164056.8273272385
6639,260382.4989873318
6283,187125.57832410478
6257,120800.93487077711
15235,188073.28647121336
902,239591.64901807887
8932,195185.63432199307
16469,295907.36897437525
2825,296687.04900279926
6450,463422.2362494488
11366,182706.34865373294
3801,294810.4022943434
11385,189038.32293149695
1079,207130.8514864277
3202,229369.8406970851
676,200623.5755699856
6185,276487.697316195
7730,174975.45449131716
2573,180016.16169849824
10978,213929.11594391265
10962,259074.6135203994
8870,205233.5713242897
8496,179528.11643134974
5517,176633.8572831783
927,194156.09697315135
13675,195611.189446759
1499,236306.78246296506
15536,342517.7591385214
8602,371148.42116036115
12137,426037.75557702594
9865,254970.81715085256
16353,275887.63970943145
15908,222651.15811076722
3944,181432.17978258245
10359,205320.33080773664
15158,205633.37521367904
3259,228657.4232573057
7220,320978.16877203295
13843,203156.12017788095
16736,177533.27158903924
702,250327.16352147903
16401,224759.85218154843
12134,180614.3774867929
6918,186817.6702271213
11792,145027.0130341235
3798,164612.98831702775
10395,126852.50763069258
11099,144748.11520275648
7090,189641.5918933782
11260,191026.3838523822
9647,213797.82459773566
2903,379295.2536556619
2071,185330.5858064601
8604,210522.19298351544
9346,202037.26339363868
3945,219199.94767375427
3420,134645.5024747468
10842,122516.13314790232
